Producto;Categoría del producto
[ACCA4910,]  CASE SILICONE IPHONE 14 MAX ESTAMPADO DE ARCOIRIS;CANGURO / Accesorio 14350101 / Acrílicos y Case
[OTR145898142476, UTIL9200, 7453010051440, 7450077005171]  CERRADURA DE VITRINA CON 2 LLAVES;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[UTIL9088, 6941556201982]  CINCEL 12 PULGADAS PUNTA PLANA 300X18X25MM;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / OTROS
[COM171547167407, COM171547TTJ,]  COMBO SMARTPHONE MOTOROLA EDGE 60 XT2505-3 (12GB+512GB) SMA171362;TECH / TELEFONIA 14350401 / COMBO SMARTPHONE GAMA BAJA
[ALT161196,]  COMPONENTE CAJA CORNETA BAKZER;CANGURO / EQUIPOS DE AUDIO 14350117 / ALTAVOCES PORTATILES
[JUG169453165383, 1111111111321]  CUERDA NUDO/BOLA GUAO 40CM VARIOS COLORES;MASCOTAS / ACCESORIOS Y JUGUETES MASCOTAS / JUGUETES MASCOTAS
[HER146590143168, UTIL4086,  7700428190125]  DISCO DE SIERRA CIRCULAR 7 1/4 40 DIENTES 180MM EJE 22.2MM ;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / HERRAMIENTAS PARA LA CONSTRUCCION
[ACC162312,]  GANCHO LAZO CON DIJE HELADO Y PERLAS X2 FD-2024-382/381;BELLEZA Y CUIDADO PERSONAL AEDOS / ACCESORIOS DIVERSOS / Accesorios para Cabello
[PLA172179167809, 7590164076049]  KIT FIESTA DESECHABLE DISIFESTY AMARILLO;ARTICULOS DE TEMPORADA AEDOS / DESECHABLES Y DESCARTABLES / PLATOS VASOS Y CUBIERTOS DESECHABLES
[UTIL0890,]  LAMINA DE ACRILICO TRANSPARENTE 122X244CM DE 2MM DE ESPESOR;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL2418,]  LAMINA DE VIDRIO CRUDO CLARO 6MM 1250x3600 ;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[LLA171933167653, 6985868748582]  LLAVERO ACRILICO CRY BABY SORPRESA;ARTICULOS PARA REGALOS Y EMPAQUES AEDOS / SOUVENIRS Y RECUERDOS / Llaveros, Porta Llaveros y Lanyards
[HER160678, 6942174896062]  LUZ UV CON VENTILADOR CUV-3;CANGURO / EQUIPOS Y HERRAMIENTAS FIX 14350120 / Herramientas Pequeñas
[UTIL4953,]  MANGUERA TRANSPARENTE CRISTAL 3/4 POR METRO;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[UTIL4819,]  MECHA DE CONCRETO 5/16;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[CHO171709167504, 040000602040]  MILKYWAY BAR 52.2G;CONFITERIA CANGURO / CHOCOLATES / Chocolates con Cereales y Nueces
[UTIL3952,]  PASADOR PORTA CANDADO DE ACERO 3 PULGADAS;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
[ACC172006,]  PAÑOLETAS UNICOLOR Y ESTAMPADAS FY-27;BELLEZA Y CUIDADO PERSONAL AEDOS / ACCESORIOS DIVERSOS / Accesorios para Cabello
[MAT166662162863, 6941556211660]  PISTOLA DE SILICON DE METAL 235MM  ;INVENTARIOS PARA CONSUMO / INVENTARIOS PARA CONSUMO 146000 / MATERIALES DE FABRICA Y PARA REMODELACIONES
